S.No,Register Number,Marks
1,P25CS0001,10
2,P25CS0002,9
3,P25CS0003,10
4,P25CS0004,10
5,P25CS0005,9
6,P25CS0006,9
7,P25CS0007,8
8,P25CS0008,9
9,P25CS0010,9
10,P25CS0011,10
11,P25CS0012,8
12,P25CS0013,7
13,P25CS0014,7
14,P25CS0015,9
15,P25CS0017,10
16,P25CS0018,9
17,P25CS0019,9
18,P25CS0020,9
19,P25CS0022,6
20,P25CS0023,8
21,P25CS0024,8
22,P25CS0025,9
23,P25CS0027,8
24,P25CS0028,7
25,P25CS0029,9
26,P25CS0030,9
27,P25CS0031,8
28,P25CS0032,7
29,P25CS0033,9
30,P25CS0035,6
31,P25CS0036,7
32,P25CS0037,10
